sequence    ,obj,  J&F,    J,    F
sav_026469  ,000, 100.0, 100.0, 100.0
sav_026800  ,000, 100.0, 100.0, 100.0
sav_026800  ,001, 100.0, 100.0, 100.0
sav_026800  ,002, 100.0, 100.0, 100.0
sav_026800  ,003, 100.0, 100.0, 100.0
sav_026821  ,000, 100.0, 100.0, 100.0
sav_026821  ,001, 100.0, 100.0, 100.0
sav_026821  ,002, 100.0, 100.0, 100.0
sav_026821  ,003, 100.0, 100.0, 100.0
sav_026969  ,000, 100.0, 100.0, 100.0
sav_027066  ,000, 100.0, 100.0, 100.0
sav_027979  ,000, 100.0, 100.0, 100.0
sav_027979  ,001, 100.0, 100.0, 100.0
sav_028579  ,000, 100.0, 100.0, 100.0
sav_028579  ,001, 100.0, 100.0, 100.0
sav_028748  ,000, 100.0, 100.0, 100.0
sav_029809  ,000, 100.0, 100.0, 100.0
sav_029809  ,001, 100.0, 100.0, 100.0
sav_030325  ,000, 100.0, 100.0, 100.0
sav_030325  ,001, 100.0, 100.0, 100.0
sav_030521  ,000, 100.0, 100.0, 100.0
sav_030621  ,000, 100.0, 100.0, 100.0
sav_030786  ,000, 100.0, 100.0, 100.0
sav_030786  ,001, 100.0, 100.0, 100.0
sav_030786  ,002, 100.0, 100.0, 100.0
sav_031273  ,000, 100.0, 100.0, 100.0
sav_031285  ,000, 100.0, 100.0, 100.0
sav_031317  ,000, 100.0, 100.0, 100.0
sav_031317  ,001, 100.0, 100.0, 100.0
sav_031773  ,000, 100.0, 100.0, 100.0
sav_031773  ,001, 100.0, 100.0, 100.0
sav_031773  ,002, 100.0, 100.0, 100.0
sav_031901  ,000, 100.0, 100.0, 100.0
sav_031935  ,000, 100.0, 100.0, 100.0
sav_031935  ,001, 100.0, 100.0, 100.0
sav_032237  ,000, 100.0, 100.0, 100.0
sav_032237  ,001, 100.0, 100.0, 100.0
sav_032237  ,002, 100.0, 100.0, 100.0
sav_032237  ,003, 100.0, 100.0, 100.0
sav_032329  ,000, 100.0, 100.0, 100.0
sav_032329  ,001, 100.0, 100.0, 100.0
sav_032655  ,000, 100.0, 100.0, 100.0
sav_032837  ,000, 100.0, 100.0, 100.0
sav_032837  ,001, 100.0, 100.0, 100.0
sav_032837  ,002, 100.0, 100.0, 100.0
sav_032837  ,003, 100.0, 100.0, 100.0
sav_033343  ,000, 100.0, 100.0, 100.0
sav_033373  ,000, 100.0, 100.0, 100.0
sav_033373  ,001, 100.0, 100.0, 100.0
sav_033857  ,000, 100.0, 100.0, 100.0
sav_035939  ,000, 100.0, 100.0, 100.0
sav_035939  ,001, 100.0, 100.0, 100.0
sav_036300  ,000, 100.0, 100.0, 100.0
sav_036919  ,000, 100.0, 100.0, 100.0
sav_036919  ,001, 100.0, 100.0, 100.0
sav_036919  ,002, 100.0, 100.0, 100.0
sav_036919  ,003, 100.0, 100.0, 100.0
sav_037370  ,000, 100.0, 100.0, 100.0
sav_037495  ,000, 100.0, 100.0, 100.0
sav_037788  ,000, 100.0, 100.0, 100.0
sav_037938  ,000, 100.0, 100.0, 100.0
sav_038325  ,000, 100.0, 100.0, 100.0
sav_039416  ,000, 100.0, 100.0, 100.0
sav_039416  ,001, 100.0, 100.0, 100.0
sav_039416  ,002, 100.0, 100.0, 100.0
sav_039782  ,000, 100.0, 100.0, 100.0
sav_040157  ,000, 100.0, 100.0, 100.0
sav_040678  ,000, 100.0, 100.0, 100.0
sav_041173  ,000, 100.0, 100.0, 100.0
sav_041589  ,000, 100.0, 100.0, 100.0
sav_041589  ,001, 100.0, 100.0, 100.0
sav_041589  ,002, 100.0, 100.0, 100.0
sav_041589  ,003, 100.0, 100.0, 100.0
sav_041589  ,004, 100.0, 100.0, 100.0
sav_041748  ,000, 100.0, 100.0, 100.0
sav_042227  ,000, 100.0, 100.0, 100.0
sav_042517  ,000, 100.0, 100.0, 100.0
sav_042517  ,001, 100.0, 100.0, 100.0
